Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
CCSU	-8.0	-19.0	-27.0	-12.600000000000001	-16.4	-8.299999999999997	-19.0	-7.0	-12.0	-9.0	0.0	-1.0	0.0	2.0	0.0	0.0	-30.0	Line: MASS -17.0	MASS	17.0	Central Connecticut Blue Devils	
MASS	8.0	19.0	27.0	12.600000000000001	16.4	8.299999999999997	19.0	7.0	12.0	9.0	0.0	1.0	0.0	-2.0	0.0	0.0	30.0	Line: MASS -17.0	MASS	-17.0	UMass Minutemen	
DART	-5.0	-9.0	-14.0	-15.0	5.799999999999997	5.099999999999994	-7.0	0.0	-7.0	6.0	-4.0	-5.0	2.0	-3.0	0.0	0.0	-12.0	Line: FOR -6.0	FOR	6.0	Dartmouth Big Green	
FOR	5.0	9.0	14.0	15.0	-5.799999999999997	-5.099999999999994	7.0	0.0	7.0	-6.0	4.0	5.0	-2.0	3.0	0.0	0.0	12.0	Line: FOR -6.0	FOR	-6.0	Fordham Rams	
ALST	-19.0	-22.0	-41.0	-21.5	-5.399999999999999	5.700000000000003	-10.0	4.0	-14.0	-1.0	-2.0	1.0	4.0	13.0	1.0	0.0	-43.0	Line: UAB -26.0	UAB	26.0	Alabama State Hornets	
UAB	19.0	22.0	41.0	21.5	5.399999999999999	-5.700000000000003	10.0	-4.0	14.0	1.0	2.0	-1.0	-4.0	-13.0	-1.0	0.0	43.0	Line: UAB -26.0	UAB	-26.0	UAB Blazers	
STO	-19.0	-12.0	-31.0	-10.399999999999999	8.599999999999998	6.299999999999997	-20.0	-12.0	-8.0	-7.0	-1.0	-6.0	9.0	1.0	0.0	0.0	-30.0	Line: CONN -30.5	CONN	30.5	Stonehill Skyhawks	
CONN	19.0	12.0	31.0	10.399999999999999	-8.599999999999998	-6.299999999999997	20.0	12.0	8.0	7.0	1.0	6.0	-9.0	-1.0	0.0	0.0	30.0	Line: CONN -30.5	CONN	-30.5	UConn Huskies	
LAF	2.0	-15.0	-13.0	0.29999999999999716	0.0	-22.5	-12.0	-9.0	-3.0	1.0	-5.0	1.0	5.0	4.0	0.0	0.0	-9.0	Line: MIA -26.5	MIA	26.5	Lafayette Leopards	
MIA	-2.0	15.0	13.0	-0.29999999999999716	0.0	22.5	12.0	9.0	3.0	-1.0	5.0	-1.0	-5.0	-4.0	0.0	0.0	9.0	Line: MIA -26.5	MIA	-26.5	Miami Hurricanes	
MORG	-24.0	1.0	-23.0	-14.5	-6.300000000000004	-2.299999999999997	-18.0	-1.0	-17.0	-13.0	2.0	-7.0	-2.0	8.0	0.0	0.0	-30.0	Line: XAV -23.5	XAV	23.5	Morgan State Bears	
XAV	24.0	-1.0	23.0	14.5	6.300000000000004	2.299999999999997	18.0	1.0	17.0	13.0	-2.0	7.0	2.0	-8.0	0.0	0.0	30.0	Line: XAV -23.5	XAV	-23.5	Xavier Musketeers	
L-MD	-13.0	7.0	-6.0	-3.1000000000000014	12.100000000000001	-30.699999999999996	-1.0	2.0	-3.0	-1.0	-4.0	-3.0	1.0	3.0	0.0	0.0	-14.0	Line: DEP -13.5	DEP	13.5	Loyola Maryland Greyhounds	
DEP	13.0	-7.0	6.0	3.1000000000000014	-12.100000000000001	30.699999999999996	1.0	-2.0	3.0	1.0	4.0	3.0	-1.0	-3.0	0.0	0.0	14.0	Line: DEP -13.5	DEP	-13.5	DePaul Blue Demons	
JKST	-20.0	11.0	-9.0	-0.3999999999999986	-18.1	16.400000000000006	7.0	2.0	5.0	-3.0	-3.0	-4.0	6.0	4.0	0.0	0.0	-18.0	Line: ACU -16.5	ACU	16.5	Jackson State Tigers	
ACU	20.0	-11.0	9.0	0.3999999999999986	18.1	-16.400000000000006	-7.0	-2.0	-5.0	3.0	3.0	4.0	-6.0	-4.0	0.0	0.0	18.0	Line: ACU -16.5	ACU	-16.5	Abilene Christian Wildcats	
WIU	-7.0	10.0	3.0	5.600000000000001	4.5	-14.0	-16.0	-6.0	-10.0	12.0	2.0	0.0	-9.0	1.0	-1.0	0.0	-7.0	Line: ILST -9.5	ILST	9.5	Western Illinois Leathernecks	
ILST	7.0	-10.0	-3.0	-5.600000000000001	-4.5	14.0	16.0	6.0	10.0	-12.0	-2.0	0.0	9.0	-1.0	1.0	0.0	7.0	Line: ILST -9.5	ILST	-9.5	Illinois State Redbirds	
LR	-27.0	-4.0	-31.0	-17.6	-26.2	-30.6	-23.0	-3.0	-20.0	-12.0	7.0	0.0	-11.0	-1.0	0.0	0.0	-31.0	Line: SIU -14.5	SIU	14.5	Little Rock Trojans	
SIU	27.0	4.0	31.0	17.6	26.2	30.6	23.0	3.0	20.0	12.0	-7.0	0.0	11.0	1.0	0.0	0.0	31.0	Line: SIU -14.5	SIU	-14.5	Southern Illinois Salukis	
SEMO	0.0	3.0	3.0	-10.5	17.4	16.200000000000003	1.0	3.0	-2.0	2.0	0.0	-1.0	-1.0	2.0	0.0	0.0	-2.0	Line: USF -11.0	USF	11.0	Southeast Missouri State Redhawks	
USF	0.0	-3.0	-3.0	10.5	-17.4	-16.200000000000003	-1.0	-3.0	2.0	-2.0	0.0	1.0	1.0	-2.0	0.0	0.0	2.0	Line: USF -11.0	USF	-11.0	South Florida Bulls	
UNCA	3.0	-3.0	3.0	5.799999999999997	7.599999999999998	-0.20000000000000284	3.0	-5.0	8.0	1.0	-1.0	1.0	5.0	-3.0	0.0	0.0	-1.0	Line: UCF -7.5	UCF	7.5	UNC Asheville Bulldogs	22.0
UCF	-3.0	3.0	-3.0	-5.799999999999997	-7.599999999999998	0.20000000000000284	-3.0	5.0	-8.0	-1.0	1.0	-1.0	-5.0	3.0	0.0	0.0	1.0	Line: UCF -7.5	UCF	-7.5	UCF Knights	19.0
MUR	-15.0	-8.0	-23.0	-10.199999999999996	-0.49999999999999645	-0.5999999999999943	-14.0	-7.0	-7.0	-16.0	-2.0	1.0	1.0	1.0	1.0	0.0	-16.0	Line: SLU -13.0	SLU	13.0	Murray State Racers	
SLU	15.0	8.0	23.0	10.199999999999996	0.49999999999999645	0.5999999999999943	14.0	7.0	7.0	16.0	2.0	-1.0	-1.0	-1.0	-1.0	0.0	16.0	Line: SLU -13.0	SLU	-13.0	Saint Louis Billikens	
FDU	-2.0	2.0	-6.0	-6.299999999999997	2.8000000000000007	-4.0	-3.0	3.0	-6.0	-10.0	2.0	-3.0	-3.0	2.0	0.0	0.0	-8.0	Line: LUC -26.0	LUC	26.0	Fairleigh Dickinson Knights	5.0
LUC	2.0	-2.0	6.0	6.299999999999997	-2.8000000000000007	4.0	3.0	-3.0	6.0	10.0	-2.0	3.0	3.0	-2.0	0.0	0.0	8.0	Line: LUC -26.0	LUC	-26.0	Loyola Chicago Ramblers	11.0
CARK	-20.0	-4.0	-24.0	-13.699999999999996	-15.3	9.799999999999997	-5.0	5.0	-10.0	-2.0	-3.0	-4.0	4.0	4.0	0.0	0.0	-28.0	Line: WICH -17.5	WICH	17.5	Central Arkansas Bears	
WICH	20.0	4.0	24.0	13.699999999999996	15.3	-9.799999999999997	5.0	-5.0	10.0	2.0	3.0	4.0	-4.0	-4.0	0.0	0.0	28.0	Line: WICH -17.5	WICH	-17.5	Wichita State Shockers	
CHST	-16.0	-15.0	-31.0	-17.5	-21.1	-12.200000000000003	-12.0	1.0	-13.0	-11.0	-2.0	1.0	-2.0	10.0	1.0	0.0	-37.0	Line: NU -23.5	NU	23.5	Chicago State Cougars	
NU	16.0	15.0	31.0	17.5	21.1	12.200000000000003	12.0	-1.0	13.0	11.0	2.0	-1.0	2.0	-10.0	-1.0	0.0	37.0	Line: NU -23.5	NU	-23.5	Northwestern Wildcats	
ME	-12.0	-1.0	-13.0	1.0999999999999943	9.599999999999998	-55.0	-17.0	-11.0	-6.0	4.0	5.0	5.0	2.0	8.0	0.0	0.0	-15.0	Line: NEB -21.0	NEB	21.0	Maine Black Bears	
NEB	12.0	1.0	13.0	-1.0999999999999943	-9.599999999999998	55.0	17.0	11.0	6.0	-4.0	-5.0	-5.0	-2.0	-8.0	0.0	0.0	15.0	Line: NEB -21.0	NEB	-21.0	Nebraska Cornhuskers	
SHSU	-7.0	8.0	1.0	-4.400000000000006	-0.1999999999999993	-25.6	-3.0	6.0	-9.0	3.0	5.0	-4.0	-9.0	3.0	0.0	0.0	-12.0	Line: OU -16.0	OU	16.0	Sam Houston Bearkats	
OU	7.0	-8.0	-1.0	4.400000000000006	0.1999999999999993	25.6	3.0	-6.0	9.0	-3.0	-5.0	4.0	9.0	-3.0	0.0	0.0	12.0	Line: OU -16.0	OU	-16.0	Oklahoma Sooners	
IUPU	-23.0	-26.0	-49.0	-18.300000000000004	-16.200000000000003	-22.0	-16.0	-8.0	-8.0	-16.0	-8.0	-2.0	15.0	6.0	0.0	0.0	-46.0	Line: ISU -26.5	ISU	26.5	IUPUI Jaguars	
ISU	23.0	26.0	49.0	18.300000000000004	16.200000000000003	22.0	16.0	8.0	8.0	16.0	8.0	2.0	-15.0	-6.0	0.0	0.0	46.0	Line: ISU -26.5	ISU	-26.5	Iowa State Cyclones	
MEM	12.0	-3.0	9.0	9.799999999999997	-13.7	29.5	7.0	-1.0	8.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	19.0	Line: MEM -2.5	MEM	-2.5	Memphis Tigers	
VAN	-12.0	3.0	-9.0	-9.799999999999997	13.7	-29.5	-7.0	1.0	-8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-19.0	Line: MEM -2.5	MEM	2.5	Vanderbilt Commodores	
ULM	-14.0	-19.0	-33.0	-23.699999999999996	-36.2	10.300000000000004	-11.0	0.0	-11.0	-15.0	7.0	1.0	2.0	-7.0	0.0	0.0	-38.0	Line: TA&M -20.5	TA&M	20.5	UL Monroe Warhawks	
TA&M	14.0	19.0	33.0	23.699999999999996	36.2	-10.300000000000004	11.0	0.0	11.0	15.0	-7.0	-1.0	-2.0	7.0	0.0	0.0	38.0	Line: TA&M -20.5	TA&M	-20.5	Texas A&M Aggies	
USI	-16.0	10.0	-6.0	0.3999999999999986	25.0	3.5999999999999943	-5.0	-5.0	0.0	-5.0	-5.0	1.0	11.0	4.0	0.0	0.0	-20.0	Line: MIZ -19.5	MIZ	19.5	Southern Indiana Screaming Eagles	
MIZ	16.0	-10.0	6.0	-0.3999999999999986	-25.0	-3.5999999999999943	5.0	5.0	0.0	5.0	5.0	-1.0	-11.0	-4.0	0.0	0.0	20.0	Line: MIZ -19.5	MIZ	-19.5	Missouri Tigers	
WCU	-15.0	2.0	-13.0	-14.0	3.299999999999997	8.5	-16.0	-4.0	-12.0	1.0	3.0	-4.0	-7.0	-1.0	0.0	0.0	-18.0	Line: UGA -13.5	UGA	13.5	Western Carolina Catamounts	
UGA	15.0	-2.0	13.0	14.0	-3.299999999999997	-8.5	16.0	4.0	12.0	-1.0	-3.0	4.0	7.0	1.0	0.0	0.0	18.0	Line: UGA -13.5	UGA	-13.5	Georgia Bulldogs	
STBK	-16.0	-20.0	-36.0	-16.7	-18.6	-18.400000000000006	-16.0	-5.0	-11.0	-3.0	-2.0	-2.0	8.0	2.0	0.0	0.0	-38.0	Line: FLA -26.5	FLA	26.5	Stony Brook Seawolves	
FLA	16.0	20.0	36.0	16.7	18.6	18.400000000000006	16.0	5.0	11.0	3.0	2.0	2.0	-8.0	-2.0	0.0	0.0	38.0	Line: FLA -26.5	FLA	-26.5	Florida Gators	
FAIR	-7.0	-5.0	-12.0	-0.8999999999999986	0.3000000000000007	-21.500000000000007	-6.0	-1.0	-5.0	-3.0	-5.0	3.0	3.0	9.0	0.0	0.0	-8.0	Line: WAKE -13.0	WAKE	13.0	Fairfield Stags	
WAKE	7.0	5.0	12.0	0.8999999999999986	-0.3000000000000007	21.500000000000007	6.0	1.0	5.0	3.0	5.0	-3.0	-3.0	-9.0	0.0	0.0	8.0	Line: WAKE -13.0	WAKE	-13.0	Wake Forest Demon Deacons	
LEH	-18.0	0.0	-18.0	-11.600000000000001	-11.899999999999999	-0.5	-13.0	-2.0	-11.0	3.0	-1.0	-5.0	-1.0	9.0	0.0	0.0	-22.0	Line: SYR -17.0	SYR	17.0	Lehigh Mountain Hawks	
SYR	18.0	0.0	18.0	11.600000000000001	11.899999999999999	0.5	13.0	2.0	11.0	-3.0	1.0	5.0	1.0	-9.0	0.0	0.0	22.0	Line: SYR -17.0	SYR	-17.0	Syracuse Orange	
APSU	-28.0	-21.0	-49.0	-30.7	-26.799999999999997	5.0	-13.0	-1.0	-12.0	-12.0	-4.0	-5.0	6.0	-6.0	0.0	0.0	-51.0	Line: NCST -13.0	NCST	13.0	Austin Peay Governors	
NCST	28.0	21.0	49.0	30.7	26.799999999999997	-5.0	13.0	1.0	12.0	12.0	4.0	5.0	-6.0	6.0	0.0	0.0	51.0	Line: NCST -13.0	NCST	-13.0	NC State Wolfpack	
COR	-2.0	0.0	-2.0	-1.2000000000000028	12.600000000000001	0.7000000000000028	-6.0	-5.0	-1.0	-1.0	-3.0	-1.0	5.0	1.0	0.0	0.0	-5.0	Line: BC -9.0	BC	9.0	Cornell Big Red	
BC	2.0	0.0	2.0	1.2000000000000028	-12.600000000000001	-0.7000000000000028	6.0	5.0	1.0	1.0	3.0	1.0	-5.0	-1.0	0.0	0.0	5.0	Line: BC -9.0	BC	-9.0	Boston College Eagles	
EVAN	4.0	0.0	4.0	3.4000000000000057	4.299999999999997	-5.0	2.0	0.0	2.0	-2.0	-2.0	1.0	-1.0	1.0	-1.0	0.0	12.0	Line: M-OH -5.5	M-OH	5.5	Evansville Purple Aces	
M-OH	-4.0	0.0	-4.0	-3.4000000000000057	-4.299999999999997	5.0	-2.0	0.0	-2.0	2.0	2.0	-1.0	1.0	-1.0	1.0	0.0	-12.0	Line: M-OH -5.5	M-OH	-5.5	Miami (OH) Redhawks	
UND	0.0	8.0	8.0	5.899999999999999	10.0	0.0	3.0	-4.0	7.0	4.0	-6.0	4.0	1.0	-10.0	-1.0	0.0	6.0	Line: UND -2.5	UND	-2.5	North Dakota Fighting Hawks	
UIW	0.0	-8.0	-8.0	-5.899999999999999	-10.0	0.0	-3.0	4.0	-7.0	-4.0	6.0	-4.0	-1.0	10.0	1.0	0.0	-6.0	Line: UND -2.5	UND	2.5	Incarnate Word Cardinals	
TAMC	-4.0	-13.0	-17.0	-15.200000000000003	5.0	-13.299999999999997	-8.0	4.0	-12.0	-3.0	1.0	-6.0	-4.0	7.0	2.0	0.0	-20.0	Line: SMU -17.0	SMU	17.0	Texas A&M-Commerce Lions	
SMU	4.0	13.0	17.0	15.200000000000003	-5.0	13.299999999999997	8.0	-4.0	12.0	3.0	-1.0	6.0	4.0	-7.0	-2.0	0.0	20.0	Line: SMU -17.0	SMU	-17.0	SMU Mustangs	
UMBC	-13.0	-9.0	-22.0	-16.1	-9.7	6.400000000000006	-9.0	-5.0	-4.0	-1.0	-1.0	0.0	2.0	0.0	0.0	0.0	-25.0	Line: TULN -16.5	TULN	16.5	UMBC Retrievers	
TULN	13.0	9.0	22.0	16.1	9.7	-6.400000000000006	9.0	5.0	4.0	1.0	1.0	0.0	-2.0	0.0	0.0	0.0	25.0	Line: TULN -16.5	TULN	-16.5	Tulane Green Wave	
UCR	-18.0	2.0	-16.0	-6.600000000000001	-27.200000000000003	-21.5	1.0	3.0	-2.0	-8.0	-4.0	0.0	2.0	10.0	0.0	0.0	-20.0	Line: COLO -11.0	COLO	11.0	UC Riverside Highlanders	
COLO	18.0	-2.0	16.0	6.600000000000001	27.200000000000003	21.5	-1.0	-3.0	2.0	8.0	4.0	0.0	-2.0	-10.0	0.0	0.0	20.0	Line: COLO -11.0	COLO	-11.0	Colorado Buffaloes	
SDAK	-10.0	-16.0	-26.0	-10.5	-32.900000000000006	-9.200000000000003	-3.0	1.0	-4.0	-7.0	-3.0	-2.0	0.0	5.0	0.0	0.0	-27.0	Line: WISC -12.0	WISC	12.0	South Dakota Coyotes	
WISC	10.0	16.0	26.0	10.5	32.900000000000006	9.200000000000003	3.0	-1.0	4.0	7.0	3.0	2.0	0.0	-5.0	0.0	0.0	27.0	Line: WISC -12.0	WISC	-12.0	Wisconsin Badgers	
