Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
NEV	5.0	8.0	13.0	12.100000000000001	-6.399999999999999	0.9000000000000057	2.0	-3.0	5.0	9.0	3.0	9.0	-4.0	-2.0	0.0	0.0	14.0	Line: NEV -12.0	NEV	-12.0	Nevada Wolf Pack	
RICE	-8.0	-31.0	-39.0	-24.799999999999997	-18.7	-34.1	-10.0	4.0	-14.0	-8.0	-1.0	-2.0	1.0	-8.0	0.0	0.0	-34.0	Line: PEPP -4.5	PEPP	4.5	Rice Owls	
PEPP	8.0	31.0	39.0	24.799999999999997	18.7	34.1	10.0	-4.0	14.0	8.0	1.0	2.0	-1.0	8.0	0.0	0.0	34.0	Line: PEPP -4.5	PEPP	-4.5	Pepperdine Waves	
SOU	-8.0	-2.0	-10.0	4.4999999999999964	13.200000000000001	-12.799999999999997	4.0	1.0	3.0	4.0	-1.0	-2.0	10.0	11.0	0.0	0.0	-14.0	Line: UNLV -14.0	UNLV	14.0	Southern Jaguars	
UNLV	8.0	2.0	10.0	-4.4999999999999964	-13.200000000000001	12.799999999999997	-4.0	-1.0	-3.0	-4.0	1.0	2.0	-10.0	-11.0	0.0	0.0	14.0	Line: UNLV -14.0	UNLV	-14.0	UNLV Rebels	
WEB	-8.0	-9.0	-17.0	-11.5	-14.200000000000003	19.0	-11.0	-5.0	-6.0	2.0	-3.0	-7.0	3.0	2.0	0.0	0.0	-11.0	Line: WASH -13.5	WASH	13.5	Weber State Wildcats	
WASH	8.0	9.0	17.0	11.5	14.200000000000003	-19.0	11.0	5.0	6.0	-2.0	3.0	7.0	-3.0	-2.0	0.0	0.0	11.0	Line: WASH -13.5	WASH	-13.5	Washington Huskies	
LIU	-14.0	-27.0	-41.0	-9.5	-8.7	-17.9	-19.0	-11.0	-8.0	-1.0	-6.0	-7.0	10.0	4.0	0.0	0.0	-41.0	Line: UTAH -25.0	UTAH	25.0	Long Island University Sharks	
UTAH	14.0	27.0	41.0	9.5	8.7	17.9	19.0	11.0	8.0	1.0	6.0	7.0	-10.0	-4.0	0.0	0.0	41.0	Line: UTAH -25.0	UTAH	-25.0	Utah Utes	
UCD	5.0	5.0	10.0	10.100000000000001	14.299999999999997	-8.099999999999994	6.0	-2.0	8.0	5.0	2.0	-4.0	-1.0	-4.0	0.0	0.0	5.0	Line: CAL -5.5	CAL	5.5	UC Davis Aggies	
CAL	-5.0	-5.0	-10.0	-10.100000000000001	-14.299999999999997	8.099999999999994	-6.0	2.0	-8.0	-5.0	-2.0	4.0	1.0	4.0	0.0	0.0	-5.0	Line: CAL -5.5	CAL	-5.5	California Golden Bears	
