"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"65","NJIT","SPU",-21,7,-14,-8.9,-9.1,-15.9,-1,-1,0,-5,-2,-2,4,-10,0,0,-24,"Line: SPU -8.5","SPU",8.5,"NJIT Highlanders",NA,0,NA,0,33,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","SPU","NJIT",21,-7,14,8.9,9.1,15.9,1,1,0,5,2,2,-4,10,0,0,24,"Line: SPU -8.5","SPU",-8.5,"Saint Peter's Peacocks",NA,1,NA,1,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","COLG","BUFF",3,-4,-1,-0.199999999999996,7.1,11,10,0,10,2,-6,-2,5,-5,0,0,2,"Line: COLG -3.0","COLG",-3,"Colgate Raiders",NA,0,NA,1,34,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","BUFF","COLG",-3,4,1,0.199999999999996,-7.1,-11,-10,0,-10,-2,6,2,-5,5,0,0,-2,"Line: COLG -3.0","COLG",3,"Buffalo Bulls",NA,1,NA,0,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","SIE","HC",11,-4,7,4.4,21.2,13.6,4,-3,7,6,-5,-1,1,0,0,0,15,"Line: SIE -1.0","SIE",-1,"Siena Saints",NA,1,NA,1,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","HC","SIE",-11,4,-7,-4.4,-21.2,-13.6,-4,3,-7,-6,5,1,-1,0,0,0,-15,"Line: SIE -1.0","SIE",1,"Holy Cross Crusaders",NA,0,NA,0,35,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ALB","TOW",-10,5,-5,-7.6,7.3,-7.90000000000001,2,2,0,1,-1,1,2,5,0,0,-13,"Line: TOW -16.5","TOW",16.5,"Albany Great Danes",NA,1,NA,0,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","TOW","ALB",10,-5,5,7.6,-7.3,7.90000000000001,-2,-2,0,-1,1,-1,-2,-5,0,0,13,"Line: TOW -16.5","TOW",-16.5,"Towson Tigers",NA,0,NA,1,36,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","HCU","FIU",9,-20,-11,-10.9,33.4,13.3,0,2,-2,1,-7,-7,8,3,0,0,4,"Line: FIU -13.5","FIU",13.5,"Houston Christian Huskies",NA,1,NA,0,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","FIU","HCU",-9,20,11,10.9,-33.4,-13.3,0,-2,2,-1,7,7,-8,-3,0,0,-4,"Line: FIU -13.5","FIU",-13.5,"Florida International Panthers",NA,0,NA,1,37,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
