"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"202","COLO","UCR",18,-2,16,6.6,27.2,21.5,-1,-3,2,8,4,0,-2,-10,0,0,20,"Line: COLO -11.0","COLO",-11,"Colorado Buffaloes",NA,1,NA,1,101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","SDAK","WISC",-10,-16,-26,-10.5,-32.9,-9.2,-3,1,-4,-7,-3,-2,0,5,0,0,-27,"Line: WISC -12.0","WISC",12,"South Dakota Coyotes",NA,0,NA,0,102,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","WISC","SDAK",10,16,26,10.5,32.9,9.2,3,-1,4,7,3,2,0,-5,0,0,27,"Line: WISC -12.0","WISC",-12,"Wisconsin Badgers",NA,1,NA,1,102,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","RAD","MARQ",-8,-2,-10,-4.5,-6.3,-20,-7,-1,-6,-7,-1,0,-3,0,0,0,-21,"Line: MARQ -19.5","MARQ",19.5,"Radford Highlanders",NA,1,NA,0,103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","MARQ","RAD",8,2,10,4.5,6.3,20,7,1,6,7,1,0,3,0,0,0,21,"Line: MARQ -19.5","MARQ",-19.5,"Marquette Golden Eagles",NA,0,NA,1,103,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","MTST","GCU",17,-23,-6,-4.9,-5.5,4,1,2,-1,2,1,4,0,2,0,0,13,"Line: GCU -6.5","GCU",6.5,"Montana State Bobcats",NA,1,NA,0,104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","GCU","MTST",-17,23,6,4.9,5.5,-4,-1,-2,1,-2,-1,-4,0,-2,0,0,-13,"Line: GCU -6.5","GCU",-6.5,"Grand Canyon Lopes",NA,0,NA,1,104,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","UTA","OKST",-5,-6,-11,-7.7,-0.5,9.59999999999999,-3,-1,-2,-6,3,-6,2,-1,0,0,-30,"Line: OKST -20.5","OKST",20.5,"UT Arlington Mavericks",NA,1,NA,0,105,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","OKST","UTA",5,6,11,7.7,0.5,-9.59999999999999,3,1,2,6,-3,6,-2,1,0,0,30,"Line: OKST -20.5","OKST",-20.5,"Oklahoma State Cowboys",NA,0,NA,1,105,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","IDST","BYU",-5,1,-4,0.700000000000003,13.2,3,-12,-10,-2,-2,3,-2,-1,0,2,0,0,"Line: BYU -23.5","BYU",23.5,"Idaho State Bengals",NA,1,NA,0,106,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","BYU","IDST",5,-1,4,-0.700000000000003,-13.2,-3,12,10,2,2,-3,2,1,0,-2,0,0,"Line: BYU -23.5","BYU",-23.5,"BYU Cougars",NA,0,NA,1,106,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","UVU","USU",-13,-4,-17,-12.5,-26.3,18.7,-13,-3,-10,-9,5,-2,-1,2,2,0,-17,"Line: USU -8.5","USU",8.5,"Utah Valley Wolverines",NA,0,NA,0,107,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","USU","UVU",13,4,17,12.5,26.3,-18.7,13,3,10,9,-5,2,1,-2,-2,0,17,"Line: USU -8.5","USU",-8.5,"Utah State Aggies",NA,1,NA,1,107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","SUU","UNM",-6,-2,-8,-1.3,-2.4,-5.2,2,1,1,-3,-5,-1,8,10,-1,0,-11,"Line: UNM -8.0","UNM",8,"Southern Utah Thunderbirds",NA,0,NA,0,108,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","UNM","SUU",6,2,8,1.3,2.4,5.2,-2,-1,-1,3,5,1,-8,-10,1,0,11,"Line: UNM -8.0","UNM",-8,"New Mexico Lobos",NA,0,NA,1,108,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","WEBB","CSU",11,-13,-2,-7.4,-22,-4.2,5,7,-2,-5,6,1,0,4,-2,0,2,"Line: CSU -7.5","CSU",7.5,"Gardner-Webb Runnin' Bulldogs",NA,1,NA,0,109,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","CSU","WEBB",-11,13,2,7.4,22,4.2,-5,-7,2,5,-6,-1,0,-4,2,0,-2,"Line: CSU -7.5","CSU",-7.5,"Colorado State Rams",NA,0,NA,1,109,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","WMU","MINN",-9,8,-1,-8.3,-20.9,60.9,-2,3,-5,-5,4,-1,-6,8,0,0,-13,"Line: MINN -9.5","MINN",9.5,"Western Michigan Broncos",NA,1,NA,0,110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","MINN","WMU",9,-8,1,8.3,20.9,-60.9,2,-3,5,5,-4,1,6,-8,0,0,13,"Line: MINN -9.5","MINN",-9.5,"Minnesota Golden Gophers",NA,0,NA,1,110,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","UTRGV","KSU",-26,-8,-34,-6.3,-17.7,-4.2,-6,-6,0,-16,-4,0,12,2,-2,0,-34,"Line: KSU -18.5","KSU",18.5,"UT Rio Grande Valley Vaqueros",NA,0,NA,0,111,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","KSU","UTRGV",26,8,34,6.3,17.7,4.2,6,6,0,16,4,0,-12,-2,2,0,34,"Line: KSU -18.5","KSU",-18.5,"Kansas State Wildcats",NA,1,NA,1,111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","ALCN","MISS",-1,-14,-15,-0.5,10.7,10.4,-12,-8,-4,1,3,0,2,9,0,0,-12,"Line: MISS -20.0","MISS",20,"Alcorn State Braves",NA,1,NA,0,112,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","MISS","ALCN",1,14,15,0.5,-10.7,-10.4,12,8,4,-1,-3,0,-2,-9,0,0,12,"Line: MISS -20.0","MISS",-20,"Ole Miss Rebels",NA,0,NA,1,112,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","DSU","VT",-25,-13,-38,-16.3,-25,-3.59999999999999,-18,-4,-14,-9,0,-2,2,8,0,0,-36,"Line: VT -34.0","VT",34,"Delaware State Hornets",NA,0,NA,0,113,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","VT","DSU",25,13,38,16.3,25,3.59999999999999,18,4,14,9,0,2,-2,-8,0,0,36,"Line: VT -34.0","VT",-34,"Virginia Tech Hokies",NA,1,NA,1,113,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","FGCU","USC",-1,14,13,-2.9,13.8,5.3,11,9,2,-2,-2,-5,-4,2,0,0,9,"Line: USC -18.0","USC",18,"Florida Gulf Coast Eagles",NA,1,NA,0,114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","USC","FGCU",1,-14,-13,2.9,-13.8,-5.3,-11,-9,-2,2,2,5,4,-2,0,0,-9,"Line: USC -18.0","USC",-18,"USC Trojans",NA,0,NA,1,114,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","TXSO","SF",-15,2,-13,-22,-7.8,-6.00000000000001,-24,1,-25,-9,3,-1,-13,-9,0,0,-17,"Line: SF -15.0","SF",15,"Texas Southern Tigers",NA,1,NA,0,115,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","SF","TXSO",15,-2,13,22,7.8,6.00000000000001,24,-1,25,9,-3,1,13,9,0,0,17,"Line: SF -15.0","SF",-15,"San Francisco Dons",NA,0,NA,1,115,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","ORU","SMC",-18,10,-8,-0.599999999999994,8,-0.800000000000011,-5,-3,-2,2,-6,3,7,7,0,0,-20,"Line: SMC -9.5","SMC",9.5,"Oral Roberts Golden Eagles",NA,1,NA,0,116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","SMC","ORU",18,-10,8,0.599999999999994,-8,0.800000000000011,5,3,2,-2,6,-3,-7,-7,0,0,20,"Line: SMC -9.5","SMC",-9.5,"Saint Mary's Gaels",NA,0,NA,1,116,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","EWU","SCU",-6,-6,-12,4.90000000000001,-8.3,-14.2,-10,-9,-1,2,-3,-1,6,4,1,0,-4,"Line: SCU -6.5","SCU",6.5,"Eastern Washington Eagles",NA,0,NA,0,117,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","SCU","EWU",6,6,12,-4.90000000000001,8.3,14.2,10,9,1,-2,3,1,-6,-4,-1,0,4,"Line: SCU -6.5","SCU",-6.5,"Santa Clara Broncos",NA,1,NA,1,117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","LBSU","CBU",7,8,15,18.5,17.1,-2.90000000000001,7,-2,9,4,4,1,-2,2,0,0,14,"Line: CBU -4.0","CBU",4,"Long Beach State Beach",NA,1,NA,0,118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","CBU","LBSU",-7,-8,-15,-18.5,-17.1,2.90000000000001,-7,2,-9,-4,-4,-1,2,-2,0,0,-14,"Line: CBU -4.0","CBU",-4,"California Baptist Lancers",NA,0,NA,1,118,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","SEA","UCSD",13,1,14,-1,16.2,-15.1,7,8,-1,7,1,2,-2,2,1,0,16,"Line: SEA -3.0","SEA",-3,"Seattle U Redhawks",NA,1,NA,1,119,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","UCSD","SEA",-13,-1,-14,1,-16.2,15.1,-7,-8,1,-7,-1,-2,2,-2,-1,0,-16,"Line: SEA -3.0","SEA",3,"UC San Diego Tritons",NA,0,NA,0,119,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","UTU","NEV",-5,-8,-13,-12.1,6.4,-0.900000000000006,-2,3,-5,-9,-3,-9,4,2,0,0,-14,"Line: NEV -12.0","NEV",12,"Utah Tech Trailblazers",NA,0,NA,0,120,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","NEV","UTU",5,8,13,12.1,-6.4,0.900000000000006,2,-3,5,9,3,9,-4,-2,0,0,14,"Line: NEV -12.0","NEV",-12,"Nevada Wolf Pack",NA,1,NA,1,120,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","RICE","PEPP",-8,-31,-39,-24.8,-18.7,-34.1,-10,4,-14,-8,-1,-2,1,-8,0,0,-34,"Line: PEPP -4.5","PEPP",4.5,"Rice Owls",NA,0,NA,0,121,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","PEPP","RICE",8,31,39,24.8,18.7,34.1,10,-4,14,8,1,2,-1,8,0,0,34,"Line: PEPP -4.5","PEPP",-4.5,"Pepperdine Waves",NA,1,NA,1,121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","SOU","UNLV",-8,-2,-10,4.5,13.2,-12.8,4,1,3,4,-1,-2,10,11,0,0,-14,"Line: UNLV -14.0","UNLV",14,"Southern Jaguars",NA,1,NA,0,122,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","UNLV","SOU",8,2,10,-4.5,-13.2,12.8,-4,-1,-3,-4,1,2,-10,-11,0,0,14,"Line: UNLV -14.0","UNLV",-14,"UNLV Rebels",NA,0,NA,1,122,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","WEB","WASH",-8,-9,-17,-11.5,-14.2,19,-11,-5,-6,2,-3,-7,3,2,0,0,-11,"Line: WASH -13.5","WASH",13.5,"Weber State Wildcats",NA,0,NA,0,123,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","WASH","WEB",8,9,17,11.5,14.2,-19,11,5,6,-2,3,7,-3,-2,0,0,11,"Line: WASH -13.5","WASH",-13.5,"Washington Huskies",NA,1,NA,1,123,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","LIU","UTAH",-14,-27,-41,-9.5,-8.7,-17.9,-19,-11,-8,-1,-6,-7,10,4,0,0,-41,"Line: UTAH -25.0","UTAH",25,"Long Island University Sharks",NA,0,NA,0,124,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","UTAH","LIU",14,27,41,9.5,8.7,17.9,19,11,8,1,6,7,-10,-4,0,0,41,"Line: UTAH -25.0","UTAH",-25,"Utah Utes",NA,1,NA,1,124,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","UCD","CAL",5,5,10,10.1,14.3,-8.09999999999999,6,-2,8,5,2,-4,-1,-4,0,0,5,"Line: CAL -5.5","CAL",5.5,"UC Davis Aggies",NA,1,NA,0,125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","CAL","UCD",-5,-5,-10,-10.1,-14.3,8.09999999999999,-6,2,-8,-5,-2,4,1,4,0,0,-5,"Line: CAL -5.5","CAL",-5.5,"California Golden Bears",NA,0,NA,1,125,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","TLSA","ORST",16,-19,-3,-13.6,0,-8.8,-6,5,-11,-1,6,-10,-7,-3,2,0,12,"Line: ORST -3.0","ORST",3,"Tulsa Golden Hurricane",NA,0,NA,0,126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","ORST","TLSA",-16,19,3,13.6,0,8.8,6,-5,11,1,-6,10,7,3,-2,0,-12,"Line: ORST -3.0","ORST",-3,"Oregon State Beavers",NA,0,NA,1,126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","RID","PROV",10,-11,-1,5.4,43.2,19.5,-3,-4,1,4,-5,-6,5,14,0,0,5,"Line: PROV -13.0","PROV",13,"Rider Broncs",NA,1,NA,0,127,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","PROV","RID",-10,11,1,-5.4,-43.2,-19.5,3,4,-1,-4,5,6,-5,-14,0,0,-5,"Line: PROV -13.0","PROV",-13,"Providence Friars",NA,0,NA,1,127,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","MILW","PUR",-19,-12,-31,0.799999999999997,-19.5,-37.4,-18,-11,-7,-8,-7,-6,10,7,0,0,-34,"Line: PUR -25.0","PUR",25,"Milwaukee Panthers",NA,0,NA,0,128,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","PUR","MILW",19,12,31,-0.799999999999997,19.5,37.4,18,11,7,8,7,6,-10,-7,0,0,34,"Line: PUR -25.0","PUR",-25,"Purdue Boilermakers",NA,1,NA,1,128,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","SHU","HART",9,-2,7,0.899999999999999,6.3,-29.3,2,4,-2,8,3,0,-3,1,0,0,4,"Line: SHU -6.0","SHU",-6,"Sacred Heart Pioneers",NA,1,NA,1,129,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","HART","SHU",-9,2,-7,-0.899999999999999,-6.3,29.3,-2,-4,2,-8,-3,0,3,-1,0,0,-4,"Line: SHU -6.0","SHU",6,"Hartford Hawks",NA,0,NA,0,129,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","MER","ECU",9,-11,-2,3.4,8.4,-5.4,-4,-2,-2,4,2,1,-3,1,0,0,10,"Line: MER -1.0","MER",-1,"Mercer Bears",NA,0,NA,1,130,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","ECU","MER",-9,11,2,-3.4,-8.4,5.4,4,2,2,-4,-2,-1,3,-1,0,0,-10,"Line: MER -1.0","MER",1,"East Carolina Pirates",NA,1,NA,0,130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","MONT","DUQ",-26,-2,-28,-25.9,-11.7,14.8,-13,0,-13,-7,-3,-4,0,-6,0,0,-40,"Line: DUQ -3.5","DUQ",3.5,"Montana Grizzlies",NA,0,NA,0,131,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","DUQ","MONT",26,2,28,25.9,11.7,-14.8,13,0,13,7,3,4,0,6,0,0,40,"Line: DUQ -3.5","DUQ",-3.5,"Duquesne Dukes",NA,1,NA,1,131,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","SCST","SC",-3,0,-3,-0.300000000000004,7.3,-3.09999999999999,-7,-4,-3,5,2,1,-1,7,0,0,-14,"Line: SC -26.0","SC",26,"South Carolina State Bulldogs",NA,1,NA,0,132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","SC","SCST",3,0,3,0.300000000000004,-7.3,3.09999999999999,7,4,3,-5,-2,-1,1,-7,0,0,14,"Line: SC -26.0","SC",-26,"South Carolina Gamecocks",NA,0,NA,1,132,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","COPP","GTWN",-2,2,-10,-9,-4.7,8.3,-15,-6,-9,0,5,-4,-1,3,0,0,-5,"Line: GTWN -18.5","GTWN",18.5,"Coppin State Eagles",6,1,0,0,133,1,-1,-13,-10,-23,-9.3,-20.9,-2.10000000000001,-10,-5,-5,-8,-2,-3,1,3,10.5
"266","GTWN","COPP",2,-2,10,9,4.7,-8.3,15,6,9,0,-5,4,1,-3,0,0,5,"Line: GTWN -18.5","GTWN",-18.5,"Georgetown Hoyas",16,0,NA,1,133,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","GASO","SJSU",-9,-6,-15,-19.4,0.399999999999999,28.6,0,5,-5,-6,1,-4,0,2,0,0,-21,"Line: SJSU -3.5","SJSU",3.5,"Georgia Southern Eagles",NA,0,NA,0,134,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","SJSU","GASO",9,6,15,19.4,-0.399999999999999,-28.6,0,-5,5,6,-1,4,0,-2,0,0,21,"Line: SJSU -3.5","SJSU",-3.5,"San José State Spartans",NA,1,NA,1,134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","DAV","WRST",-16,16,5,7.90000000000001,16.8,-12.2,-2,-8,6,2,-6,1,5,-8,0,0,-16,"Line: DAV -4.5","DAV",-4.5,"Davidson Wildcats",23,1,NA,1,135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","WRST","DAV",16,-16,-5,-7.90000000000001,-16.8,12.2,2,8,-6,-2,6,-1,-5,8,0,0,16,"Line: DAV -4.5","DAV",4.5,"Wright State Raiders",18,0,NA,0,135,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","AMER","MRST",1,-5,-4,-7.6,-8,17.1,5,4,1,-4,-4,1,3,1,0,0,0,"Line: MRST -1.5","MRST",1.5,"American University Eagles",NA,0,NA,0,136,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","MRST","AMER",-1,5,4,7.6,8,-17.1,-5,-4,-1,4,4,-1,-3,-1,0,0,0,"Line: MRST -1.5","MRST",-1.5,"Marist Red Foxes",NA,1,NA,1,136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","HAMP","JMU",-38,-10,-48,-28.3,-26.4,-28.2,-23,-2,-21,-10,-4,-5,0,3,0,0,-53,"Line: JMU -16.0","JMU",16,"Hampton Pirates",NA,0,NA,0,137,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","JMU","HAMP",38,10,48,28.3,26.4,28.2,23,2,21,10,4,5,0,-3,0,0,53,"Line: JMU -16.0","JMU",-16,"James Madison Dukes",NA,1,NA,1,137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","UTM","YSU",-8,-10,-18,1.6,-3.1,-23.3,-5,-6,1,1,-1,2,6,6,1,0,-18,"Line: YSU -8.5","YSU",8.5,"UT Martin Skyhawks",NA,0,0,0,138,-2,-1,-13,-9,-22,-4.3,-11,-11.4,-10,-6,-4,-14,2,-8,2,6,8.5
"276","YSU","UTM",8,10,18,-1.6,3.1,23.3,5,6,-1,-1,1,-2,-6,-6,-1,0,18,"Line: YSU -8.5","YSU",-8.5,"Youngstown State Penguins",NA,1,1,1,138,2,1,23,-12,11,16.1,16.7,-22.4,22,5,17,1,-2,1,10,4,-4
"277","IUPU","DRKE",-23,-9,-32,-25.9,-23.3,-32.1,-10,7,-17,-3,-2,-5,-4,-4,0,0,-33,"Line: DRKE -27.5","DRKE",27.5,"IUPUI Jaguars",NA,0,0,0,139,-1,-1,-23,-26,-49,-18.3,-16.2,-22,-16,-8,-8,-16,-8,-2,15,6,26.5
"278","DRKE","IUPU",23,9,32,25.9,23.3,32.1,10,-7,17,3,2,5,4,4,0,0,33,"Line: DRKE -27.5","DRKE",-27.5,"Drake Bulldogs",NA,1,NA,1,139,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","KC","LSU",-7,-4,-11,-9.3,-22.1,8.59999999999999,-7,-2,-5,-4,-5,-3,1,-3,0,0,-16,"Line: LSU -23.0","LSU",23,"Kansas City Roos",NA,1,NA,0,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","LSU","KC",7,4,11,9.3,22.1,-8.59999999999999,7,2,5,4,5,3,-1,3,0,0,16,"Line: LSU -23.0","LSU",-23,"LSU Tigers",NA,0,NA,1,140,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","LIP","SDAK",7,-15,-8,-3.9,-17.1,-11.9,-10,-2,-8,2,2,5,-4,4,0,0,3,"Line: SDAK -6.0","SDAK",6,"Lipscomb Bisons",NA,0,NA,0,141,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","SDAK","LIP",-7,15,8,3.9,17.1,11.9,10,2,8,-2,-2,-5,4,-4,0,0,-3,"Line: SDAK -6.0","SDAK",-6,"South Dakota Coyotes",NA,1,0,1,141,1,-1,-10,-16,-26,-10.5,-32.9,-9.2,-3,1,-4,-7,-3,-2,0,5,12
"283","MONM","HALL",-19,-8,-27,-15.5,-24.8,7.7,-4,0,-4,-6,-5,-2,3,1,0,0,-30,"Line: HALL -19.5","HALL",19.5,"Monmouth Hawks",NA,0,NA,0,142,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","HALL","MONM",19,8,27,15.5,24.8,-7.7,4,0,4,6,5,2,-3,-1,0,0,30,"Line: HALL -19.5","HALL",-19.5,"Seton Hall Pirates",NA,1,NA,1,142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","SDST","BOIS",5,-3,2,1.5,17.8,-1.09999999999999,-6,-4,-2,2,-6,2,5,-2,0,0,11,"Line: BOIS -6.5","BOIS",6.5,"South Dakota State Jackrabbits",NA,1,1,0,143,2,1,6,-6,-1,9,-8.8,-0.899999999999991,4,-4,8,-5,-2,-1,4,-2,3.5
"286","BOIS","SDST",-5,3,-2,-1.5,-17.8,1.09999999999999,6,4,2,-2,6,-2,-5,2,0,0,-11,"Line: BOIS -6.5","BOIS",-6.5,"Boise State Broncos",NA,0,NA,1,143,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","BELL","LOU",11,-10,1,6.5,7.40000000000001,3.2,-6,-7,1,-3,0,-2,-2,-4,0,0,6,"Line: LOU -7.5","LOU",7.5,"Bellarmine Knights",NA,1,NA,0,144,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","LOU","BELL",-11,10,-1,-6.5,-7.40000000000001,-3.2,6,7,-1,3,0,2,2,4,0,0,-6,"Line: LOU -7.5","LOU",-7.5,"Louisville Cardinals",NA,0,NA,1,144,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","FGCU","USD",-5,-1,-6,-7.3,3.1,4.2,-4,-2,-2,3,-2,-2,2,1,2,0,-6,"Line: USD -4.5","USD",4.5,"Florida Gulf Coast Eagles",NA,0,1,0,145,0,1,-1,14,13,-2.9,13.8,5.3,11,9,2,-2,-2,-5,-4,2,18
"290","USD","FGCU",5,1,6,7.3,-3.1,-4.2,4,2,2,-3,2,2,-2,-1,-2,0,6,"Line: USD -4.5","USD",-4.5,"San Diego Toreros",NA,1,NA,1,145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
